timestamp,strategy_name,cash_balance_usd,equity_usd,open_positions_val_usd,realized_pnl_usd,unrealized_pnl_usd,total_fees_usd,total_slippage_usd,drawdown_pct
2026-09-05 11:23:17,Main_Virtual_Wallet,74.72,99.54,24.82,0.0,-0.46,0.11,0.13,0.46
2026-09-05 11:23:18,Main_Virtual_Wallet,65.04,99.6,34.56,0.0,-0.4,0.15,0.17,0.46
2026-09-05 11:23:18,Main_Virtual_Wallet,59.92,100.35,40.43,0.0,0.35,0.17,0.2,0.46
2026-09-05 11:23:18,Main_Virtual_Wallet,59.92,100.25,40.34,0.0,0.25,0.17,0.2,0.46
2026-09-05 11:23:19,Main_Virtual_Wallet,59.92,101.12,41.2,0.0,1.12,0.17,0.2,0.46
2026-09-05 11:23:19,Main_Virtual_Wallet,59.92,101.0,41.08,0.0,1.0,0.17,0.2,0.46
2026-09-05 11:23:19,Main_Virtual_Wallet,65.77,102.3,36.54,0.72,1.58,0.2,0.23,0.46
2026-09-05 11:23:20,Main_Virtual_Wallet,58.62,103.18,44.55,0.72,2.45,0.24,0.27,0.46
2026-09-05 11:23:20,Main_Virtual_Wallet,91.5,104.13,12.64,5.13,-1.0,0.36,0.43,0.46
2026-09-05 11:23:20,Main_Virtual_Wallet,83.46,103.79,20.34,4.34,-0.55,0.44,0.53,0.46
2026-09-05 11:23:21,Main_Virtual_Wallet,59.74,103.48,43.74,4.34,-0.86,0.53,0.65,0.47
2026-09-05 11:23:21,Main_Virtual_Wallet,59.74,104.24,44.51,4.34,-0.1,0.53,0.65,0.47
2026-09-05 11:23:21,Main_Virtual_Wallet,59.74,105.3,45.57,4.34,0.97,0.53,0.65,0.47
2026-09-05 11:23:22,Main_Virtual_Wallet,71.71,106.17,34.45,5.88,0.28,0.58,0.71,0.47
2026-09-05 11:23:22,Main_Virtual_Wallet,61.19,106.33,45.14,5.88,0.45,0.62,0.76,0.47
